0.2, 0.5, 1, 2, 5, 10, 20
7.5, 0.947, 0.874, 0.762, 0.582, 0.258, 0.066, 0
8.0, 0.990, 0.975, 0.951, 0.904, 0.777, 0.603, 0.365
8.5, 0.994, 0.986, 0.972, 0.944, 0.866, 0.750, 0.562
9.0, 0.997, 0.992, 0.984, 0.968, 0.921, 0.848, 0.719
9.5, 0.997, 0.993, 0.987, 0.973, 0.934, 0.873, 0.762
10.0, 0.998, 0.994, 0.988, 0.975, 0.940, 0.883, 0.780
10.5, 0.998, 0.994, 0.988, 0.976, 0.941, 0.886, 0.784
11.0, 0.998, 0.994, 0.988, 0.975, 0.940, 0.883, 0.779
11.5, 0.997, 0.993, 0.986, 0.972, 0.932, 0.868, 0.753
12.0, 0.997, 0.993, 0.987, 0.974, 0.937, 0.878, 0.770
12.5, 0.997, 0.993, 0.986, 0.973, 0.933, 0.871, 0.759
13.0, 0.997, 0.992, 0.984, 0.967, 0.921, 0.846, 0.718
13.5, 0.996, 0.990, 0.980, 0.961, 0.905, 0.819, 0.670
13.9, 0.995, 0.988, 0.977, 0.955, 0.891, 0.793, 0.629
